symbol,ask,bid,previousClose,open,dividendYield,dividendPerShare,dividendPayDate,exDividendDate,tradeDate,lastTradeDate,lastTradeTime,earningPerShare,EPSEstimateCurrentYear,EPSEstimateNextYear,EPSEstimateNextQuarter,bookValue,EBITDA,priceSale,priceBook,pe,peg,peCurrentYear,peNextYear,shortRatio,revenue,holdingsValue,dayValueChange,holdingGainPercent,annualizedGain,holdingsGain,askSize,bidSize,lastTradeSize,averageDailyVolume,marketCapitalization,floatShares,name,sharesOwned,stockExchange,sharesOutstanding,commission,oneYearTargetPrice,
"ACNB",20.20,19.71,19.65,20.05,3.98,0.80,"9/15/2015","8/28/2015",N/A,"9/10/2015","3:45pm",1.74,N/A,N/A,0.00,18.72,0.00,2.53,1.05,11.61,0.00,N/A,N/A,4.03,46.88M,N/A,N/A,N/A,N/A,N/A,100,100,100,2866,121.50M,5867000,"ACNB Corporation",N/A,"NCM",6030000,N/A,N/A
"ACOR",33.19,32.83,32.59,32.53,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",0.24,0.71,0.91,0.10,13.09,59.66M,3.19,2.49,136.07,1.58,46.38,36.19,15.72,437.39M,N/A,N/A,N/A,N/A,N/A,100,100,12910,620791,1.41B,41947000,"Acorda Therapeutics, Inc.",N/A,"NMS",42817000,N/A,42.25
"ACTS",1.61,1.55,1.61,1.60,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:55pm",-0.50,-0.03,N/A,0.00,3.64,-29.91M,1.84,0.44,N/A,0.00,N/A,N/A,0.58,51.13M,N/A,N/A,N/A,N/A,N/A,100,5000,200,58020,91.29M,44489000,"Actions Semiconductor Co., Ltd.",N/A,"NMS",58522000,N/A,1.15
"ACPW",1.90,1.86,1.89,1.91,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.28,-0.10,-0.05,0.00,0.76,-4.59M,0.75,2.48,N/A,-0.97,N/A,N/A,3.08,58.03M,N/A,N/A,N/A,N/A,N/A,400,4500,200,50981,43.90M,16877000,"Active Power, Inc.",N/A,"NCM",23107000,N/A,3.00
"ATVI",29.10,27.92,28.69,28.51,0.82,0.23,"5/13/2015","3/26/2015",N/A,"9/10/2015","4:00pm",1.27,1.33,1.55,0.89,10.70,1.41B,4.50,2.68,22.85,2.01,21.85,18.75,7.32,4.65B,N/A,N/A,N/A,N/A,N/A,200,500,244315,9220610,21.19B,335560000,"Activision Blizzard, Inc",N/A,"NMS",729020000,N/A,31.71
"ACTA",15.88,12.00,13.57,13.58,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.82,-0.38,-0.15,-0.09,10.93,-44.60M,4.53,1.24,N/A,-2.12,N/A,N/A,6.71,111.51M,N/A,N/A,N/A,N/A,N/A,100,1000,3350,151530,503.36M,33199000,"Actua Corporation",N/A,"NMS",37231000,N/A,22.88
"ACUR",4.00,3.14,2.97,2.99,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.72,-0.25,0.20,-0.10,0.43,-5.61M,5.50,6.97,N/A,0.00,N/A,16.20,1.17,6.37M,N/A,N/A,N/A,N/A,N/A,200,1000,100,51473,38.24M,4810000,"Acura Pharmaceuticals, Inc.",N/A,"NCM",11801000,N/A,10.00
"ACXM",23.62,20.00,20.33,20.18,0.00,0.00,N/A,"8/19/2008",N/A,"9/10/2015","4:00pm",-0.06,0.48,0.67,0.13,9.01,150.59M,1.54,2.26,N/A,3.45,41.98,30.07,12.30,1.03B,N/A,N/A,N/A,N/A,N/A,100,200,25134,496886,1.57B,76602000,"Acxiom Corporation",N/A,"NMS",77941000,N/A,23.67
"ADMS",19.98,N/A,18.90,18.73,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-1.45,-3.19,-3.08,-0.88,7.36,-18.64M,11.17,2.57,N/A,-0.07,N/A,N/A,2.61,31.14M,N/A,N/A,N/A,N/A,N/A,100,N/A,1724,174517,357.57M,11646000,"Adamas Pharmaceuticals, Inc.",N/A,"NGM",18403000,N/A,35.50
"ADMP",5.00,3.39,4.06,4.03,N/A,N/A,N/A,N/A,N/A,"9/10/2015","3:59pm",-1.31,-0.87,-0.98,0.00,1.11,-12.93M,N/A,3.67,N/A,0.00,N/A,N/A,4.74,N/A,N/A,N/A,N/A,N/A,N/A,100,6000,100,47531,57.75M,9905000,"Adamis Pharmaceuticals Corporat",N/A,"NCM",13431000,N/A,10.00
