symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MEG,2013-06-30,False,Q2,2013,10-Q,82020000.0,4957000.0,-16146000.0,-0.61,-0.61,0.0,739637000.0,96575000.0,65979000.0,25244000.0,-206371000.0,-6274000.0,-6099000.0,815000.0
MD,2013-06-30,False,Q2,2013,10-Q,529180000.0,113371000.0,69218000.0,1.4,1.37,0.0,2889390000.0,367691000.0,212773000.0,13163000.0,2193145000.0,108848000.0,-138972000.0,22007000.0
MD,2013-03-31,False,Q1,2013,10-Q,502715000.0,91552000.0,55367000.0,1.12,1.1,0.0,2792656000.0,394628000.0,190895000.0,34425000.0,2105756000.0,-18387000.0,-15635000.0,47167000.0
MD,2012-12-31,False,FY,2012,10-K,5691790000.0,389520000.0,240907000.0,4.95,4.85,0.0,2750337000.0,359044000.0,268338000.0,21280000.0,2035368000.0,325692000.0,-460548000.0,137540000.0
MD,2013-09-30,False,Q3,2013,10-Q,554730000.0,123291000.0,76958000.0,1.55,1.52,0.0,2979865000.0,372963000.0,273994000.0,16242000.0,2234094000.0,266779000.0,-218782000.0,-53035000.0
MW,2013-02-02,False,FY,2012,10-K,2488278000.0,198568000.0,130157000.0,2.56,2.55,0.72,1496347000.0,855153000.0,294183000.0,156063000.0,1109235000.0,225730000.0,-123475000.0,-71347000.0
MW,2013-05-04,False,Q1,2013,10-Q,616536000.0,52553000.0,32779000.0,0.65,0.65,0.18,1544181000.0,885027000.0,353032000.0,155099000.0,1099050000.0,70666000.0,-25089000.0,-45795000.0
MW,2013-11-02,False,Q3,2013,10-Q,648890000.0,60005000.0,38023000.0,0.8,0.79,0.18,1606451000.0,863059000.0,353750000.0,64764000.0,1057751000.0,159383000.0,-173087000.0,-74926000.0
MRK,2013-06-30,False,Q2,2013,10-Q,11010000000.0,,906000000.0,0.3,0.3,0.43,106876000000.0,36995000000.0,18402000000.0,15090000000.0,50105000000.0,4679000000.0,-2288000000.0,-451000000.0
MRK,2013-03-31,False,Q1,2013,10-Q,10671000000.0,,1593000000.0,0.53,0.52,0.43,106200000000.0,35244000000.0,18802000000.0,13024000000.0,55606000000.0,2341000000.0,-1153000000.0,-1421000000.0
MRK,2013-09-30,False,Q3,2013,10-Q,-1000000.0,,1124000000.0,0.38,0.38,0.43,106419000000.0,37765000000.0,18215000000.0,14090000000.0,50006000000.0,8628000000.0,-4325000000.0,-3366000000.0
MCY,2013-03-31,False,Q1,2013,10-Q,740153000.0,,66461000.0,1.21,1.21,0.6125,4272166000.0,,,185042000.0,1875346000.0,58198000.0,2302000.0,-33641000.0
