symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
CYTX,2011-09-30,False,Q3,2011,10-Q,2134000.0,-7823000.0,-8335000.0,,-0.15,0.0,55568000.0,47625000.0,6443000.0,40803000.0,11926000.0,-27424000.0,-458000.0,16017000.0
CYTR,2011-09-30,False,Q3,2011,10-Q,0.0,-4959246.0,-557766.0,0.0,0.0,0.0,44867994.0,44284671.0,16328814.0,30387583.0,28539180.0,-11277329.0,16397363.0,18943119.0
CYTR,2011-06-30,False,Q2,2011,10-Q,150000.0,-3763254.0,-3120075.0,-0.03,-0.03,0.0,29189012.0,28495630.0,6823342.0,7023176.0,22365670.0,-7705373.0,8404119.0,0.0
CYTK,2011-06-30,False,Q2,2011,10-Q,1053000.0,-13647000.0,-16489000.0,-0.23,-0.23,0.0,72157000.0,69804000.0,5505000.0,23769000.0,66652000.0,-25386000.0,12243000.0,420157000.0
CYTK,2011-09-30,False,Q3,2011,10-Q,1427000.0,-10668000.0,-10639000.0,-0.15,-0.15,0.0,61778000.0,59871000.0,5034000.0,18591000.0,56744000.0,-34650000.0,16508000.0,419978000.0
CYTX,2011-06-30,False,Q2,2011,10-Q,2411000.0,-4372000.0,-5138000.0,,-0.1,0.0,48756000.0,40430000.0,15612000.0,33229000.0,10141000.0,-19532000.0,-433000.0,526000.0
CTSO,2011-09-30,False,Q3,2011,10-Q,,,-2463784.0,-0.02,-0.02,0.0,2934435.0,2516002.0,1588584.0,2296147.0,1121033.0,-2719589.0,-51934.0,68244257.0
CTSO,2011-06-30,False,Q2,2011,10-Q,,,-2219108.0,-0.01,-0.01,0.0,3862477.0,3452138.0,1418580.0,3416525.0,1917343.0,-1620559.0,-28398.0,68242069.0
CY,2010-07-04,False,Q2,2010,10-Q,223024000.0,27144000.0,19642000.0,0.12,0.1,0.0,939041000.0,553864000.0,264819000.0,188796000.0,626194000.0,84154000.0,-57694000.0,-81222000.0
CY,2010-10-03,False,Q3,2010,10-Q,231923000.0,30725000.0,34373000.0,0.22,0.18,0.0,1069300000.0,688462000.0,325095000.0,313580000.0,694480000.0,193559000.0,-54635000.0,-68902000.0
CY,2011-01-02,False,FY,2010,10-K,877532000.0,87864000.0,75742000.0,0.47,0.4,0.0,1072801000.0,695658000.0,312289000.0,263183000.0,702893000.0,262746000.0,-150734000.0,-92387000.0
CY,2011-04-03,False,Q1,2011,10-Q,233110000.0,55118000.0,55374000.0,0.32,0.28,0.0,993941000.0,609399000.0,364674000.0,119598000.0,568806000.0,35343000.0,30711000.0,-209639000.0
CY,2011-07-03,False,Q2,2011,10-Q,254978000.0,26731000.0,40823000.0,0.24,0.21,0.09,1107204000.0,695057000.0,397653000.0,280153000.0,661323000.0,112213000.0,77335000.0,-172578000.0
CY,2011-10-02,False,Q3,2011,10-Q,264743000.0,45633000.0,39981000.0,0.24,0.22,0.09,851486000.0,433869000.0,387247000.0,64260000.0,404128000.0,218327000.0,67369000.0,-484619000.0
CYNO,2011-06-30,False,Q2,2011,10-Q,26339000.0,,-1300000.0,-0.1,-0.1,0.0,149961000.0,109532000.0,29724000.0,20909000.0,119434000.0,58000.0,-6619000.0,201000.0
CYCC,2011-09-30,False,Q3,2011,10-Q,164000.0,-4048000.0,-3627000.0,-0.07,-0.07,0.0,28946000.0,28781000.0,5935000.0,27675000.0,23011000.0,-10718000.0,-6000.0,243450000.0
CYCC,2011-06-30,False,Q2,2011,10-Q,168000.0,-3797000.0,-3734000.0,-0.08,-0.08,0.0,22695000.0,22449000.0,6040000.0,20614000.0,16655000.0,-8456000.0,-6364000.0,234112000.0
CYBX,2011-07-29,False,Q1,2012,10-Q,52662076.0,11510186.0,6884554.0,0.24,0.24,0.0,199901869.0,142128640.0,23360180.0,81610395.0,170034528.0,9960760.0,-2788343.0,-15236144.0
CYAN,2011-06-30,False,Q1,2012,10-Q,5950000.0,516000.0,486000.0,0.09,0.09,0.0,14307000.0,8844000.0,2129000.0,3109000.0,11647000.0,1314000.0,-260000.0,-7000.0
